submission_date,genero,edad,donde_vivis,opinion_cuarentena,home_office,act_original,opinion_circulacion,circulacion_abierta,submitter,filepath,act_limpia,circ_limpia,Profesion
30/06/2020,Mujer,Entre 46 y 55 años,cordoba,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",trabajo,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,no seria terrible,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,['trabajo'],"['no', 'sería', 'terrible']",
30/06/2020,Mujer,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",paseo perros y vivo de eso y el estado tarda en dar ayudas a los que vivimos al dia,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,por ahora no me parece bien,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,"['paseo', 'perros', 'y', 'vivo', 'de', 'eso', 'y', 'el', 'estado', 'tarda', 'en', 'dar', 'ayudas', 'a', 'los', 'que', 'vivimos', 'al', 'dia']","['por', 'ahora', 'no', 'me', 'parece', 'bien']",paseador de perros
30/06/2020,Mujer,Entre 56 y 65 años,tierra del fuego,La cuarentena ya no es nada necesaria,"No, todavía no pude volver a hacerlo",todo un desastre,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,hay q terner cuidados y orotocolos,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,"['todo', 'un', 'desastre']","['hay', 'q', 'terner', 'cuidados', 'y', 'orotocolos']",
30/06/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",docente,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,innecesario,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,['docente'],['innecesario'],profesor
30/06/2020,Mujer,Más de 66 años,santa fe,La cuarentena ya no es tan necesaria,No trabajo ni estudio,jubilada con tratamiento medico que se complica con la cuarentena,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,hacer un protocolo para ingresar o regresar. facil   la gente necesita trabajar,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,medico,"['hacer', 'un', 'protocolo', 'para', 'ingresar', 'o', 'regresar', 'fácil', 'la', 'gente', 'necesita', 'trabajar']",jubilado
30/06/2020,Mujer,Entre 46 y 55 años,corrientes,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,ama de casa,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,siempre y cuando cumplan con los protocolos. y se respeten desiciones del gobierno. .,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,ama de casa,"['siempre', 'y', 'cuando', 'cumplan', 'con', 'los', 'protocolos', 'y', 'se', 'respeten', 'desiciones', 'del', 'gobierno']",ama de casa
30/06/2020,Mujer,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",operaria de fabrica,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,x ahora es imposible,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,"['operaria', 'de', 'fabrica']","['x', 'ahora', 'es', 'imposible']",operario industrial
30/06/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"totalmente necesaria para la circulacion, al menos en autos particulares.",,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,"['totalmente', 'necesaria', 'para', 'la', 'circulación', 'al', 'menos', 'en', 'autos', 'particulares']",
30/06/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
30/06/2020,Mujer,Entre 56 y 65 años,ciudad autonoma de buenos aires,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial","me dedico a cuidar ancianos en domicilio,antes viajaba todos los dias  ,ahora me quedo ,una semana  yo una semana otra chica  me movilizo en bici  de esa manera aislamos bien al anciano ",Estoy algo de acuerdo con que se pueda volver a circular entre provincias,solo donde no hay casos,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,"['me', 'dedico', 'a', 'cuidar', 'ancianos', 'en', 'domicilio', 'antes', 'viajaba', 'todos', 'los', 'dias', 'ahora', 'me', 'quedo', 'una', 'semana', 'yo', 'una', 'semana', 'otra', 'chica', 'me', 'movilizo', 'en', 'bici', 'de', 'esa', 'manera', 'aislamos', 'bien', 'al', 'anciano']","['solo', 'donde', 'no', 'hay', 'casos']",cuidado de adultos mayores y niños
30/06/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
30/06/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
30/06/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",soy vendedora  cuenta propia y ya no doy mas,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,le es necesario hacerlo porque tambien  dependemos de ellas nuestro familiares y amigos viven en ellas,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,"['soy', 'vendedora', 'cuenta', 'propia', 'y', 'ya', 'no', 'doy', 'mas']","['le', 'es', 'necesario', 'hacerlo', 'porque', 'también', 'dependemos', 'de', 'ellas', 'nuestro', 'familiares', 'y', 'amigos', 'viven', 'en', 'ellas']",profesional independiente
30/06/2020,Mujer,Entre 56 y 65 años,cordoba,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,se desparramaria el virus desde provincias mas afectadas,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,"['se', 'desparramaria', 'el', 'virus', 'desde', 'provincias', 'más', 'afectadas']",
30/06/2020,Mujer,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
30/06/2020,Mujer,Entre 56 y 65 años,provincia de buenos aires,La cuarentena ya no es tan necesaria,No trabajo ni estudio,trabajaba hasta que comenzo la pandemia.,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,me parece que se puede multiplicar los casos.,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,"['trabajaba', 'hasta', 'que', 'comenzo', 'la', 'pandemia']","['me', 'parece', 'que', 'se', 'puede', 'multiplicar', 'los', 'casos']",desempleado
30/06/2020,Mujer,Entre 46 y 55 años,ciudad autonoma de buenos aires,La cuarentena ya no es nada necesaria,"No, tuve que hacerlo de manera presencial",salud,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"estoy de acuerdo que se pueda circular en cualquier lado, principalmente que no le pongan tantas objeciones, tramites y gastos a la gente 1ue debe ir a medicos y clinicas. despues dicen que la gente no va por miedo, es mentira, no van porque cuestan caros los remis, les piden muchos certificados de circulacion en algunos lugares, que los mayores ni saben hacer, como ocurre en mar del plata,  y la gente se termina muriendo.",,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,['salud'],"['estoy', 'de', 'acuerdo', 'que', 'se', 'pueda', 'circular', 'en', 'cualquier', 'lado', 'principalmente', 'que', 'no', 'le', 'pongan', 'tantas', 'objeciones', 'trámites', 'y', 'gastos', 'a', 'la', 'gente', '1ue', 'debe', 'ir', 'a', 'médicos', 'y', 'clínicas', 'después', 'dicen', 'que', 'la', 'gente', 'no', 'va', 'por', 'miedo', 'es', 'mentira', 'no', 'van', 'porque', 'cuestan', 'caros', 'los', 'remis', 'les', 'piden', 'muchos', 'certificados', 'de', 'circulación', 'en', 'algunos', 'lugares', 'que', 'los', 'mayores', 'ni', 'saben', 'hacer', 'como', 'ocurre', 'en', 'mar', 'del', 'plata', 'y', 'la', 'gente', 'se', 'termina', 'muriendo']",personal de salud
30/06/2020,Mujer,Entre 56 y 65 años,provincia de buenos aires,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",artesana,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,con controles y protocolos estrictos,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,['artesana'],"['con', 'controles', 'y', 'protocolos', 'estrictos']",artesanias manualidades
30/06/2020,Mujer,Más de 66 años,entre rios,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,ya no trabajo mas afuera..tejo coso en casa ..,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"opino k x ahora no. xk los casos en e rios tds traedos de bs as.en mi pueblo no hubo ni un caso...pero aca de chaco, bs as y provincias endemicas..no entran..rr bien nos cuida el intendente  muy extricto ya k es un pueblo chico..nos conocemos todos y muy bien por nuestro presidente...esperemos despues de 18 dias ahi creo k ya esta...me preocupa los negocios k sierran de a ratos cusndo pienso me da panico y del verdadero ya estube depre...por mis hijos k viven en bs as y nuera embarazada..es td un  tema",,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,"['ya', 'no', 'trabajo', 'mas', 'afuera', 'tejo', 'coso', 'en', 'casa']","['opino', 'k', 'x', 'ahora', 'no', 'xk', 'los', 'casos', 'en', 'e', 'rios', 'tds', 'traedos', 'de', 'bs', 'as', 'en', 'mi', 'pueblo', 'no', 'hubo', 'ni', 'un', 'caso', 'pero', 'aca', 'de', 'chaco', 'bs', 'as', 'y', 'provincias', 'endemicas', 'no', 'entran', 'rr', 'bien', 'nos', 'cuida', 'el', 'intendente', 'muy', 'extricto', 'ya', 'k', 'es', 'un', 'pueblo', 'chico', 'nos', 'conocemos', 'todos', 'y', 'muy', 'bien', 'por', 'nuestro', 'presidente', 'esperemos', 'despues', 'de', '18', 'dias', 'ahi', 'creo', 'k', 'ya', 'esta', 'me', 'preocupa', 'los', 'negocios', 'k', 'sierran', 'de', 'a', 'ratos', 'cusndo', 'pienso', 'me', 'da', 'panico', 'y', 'del', 'verdadero', 'ya', 'estube', 'depre', 'por', 'mis', 'hijos', 'k', 'viven', 'en', 'bs', 'as', 'y', 'nuera', 'embarazada', 'es', 'td', 'un', 'tema']",jubilado
30/06/2020,Mujer,Entre 56 y 65 años,entre rios,La cuarentena ya no es tan necesaria,"No, tuve que hacerlo de manera presencial",soy comerciante y debi cerrar las veces que desde las autoridades lo legislaron.,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,es necesario pero deben existir controles muy extrictos y no deben pernoctar en ningun lugar sin cumplir con una cuarentena bien controlada.,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,comerciante,"['es', 'necesario', 'pero', 'deben', 'existir', 'controles', 'muy', 'extrictos', 'y', 'no', 'deben', 'pernoctar', 'en', 'ningún', 'lugar', 'sin', 'cumplir', 'con', 'una', 'cuarentena', 'bien', 'controlada']",comerciante
30/06/2020,Mujer,Entre 56 y 65 años,la pampa,La cuarentena ya no es nada necesaria,No trabajo ni estudio,tengo discapacidad permanente,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,es muy peligrosa por contagios,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,"['tengo', 'discapacidad', 'permanente']","['es', 'muy', 'peligrosa', 'por', 'contagios']",discapacitado
30/06/2020,Mujer,Entre 46 y 55 años,misiones,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",docente,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,es esencial aguardar. aun es riesgoso.,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,['docente'],"['es', 'esencial', 'aguardar', 'aún', 'es', 'riesgoso']",profesor
30/06/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online","docente, zoom, armado de clases, actividades y correcciones. ",Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,no es el momento.,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,"['docente', 'zoom', 'armado', 'de', 'clases', 'actividades', 'y', 'correcciones']","['no', 'es', 'el', 'momento']",profesor
30/06/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,hago zumba y ritmos latinos,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,vivo en villa gesell donde no hay covid para nada estoy de acuerdo,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,"['hago', 'zumba', 'y', 'ritmos', 'latinos']","['vivo', 'en', 'villa', 'gesell', 'donde', 'no', 'hay', 'covid', 'para', 'nada', 'estoy', 'de', 'acuerdo']",bailarin
30/06/2020,Mujer,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,ama de casa,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,cuidarese,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,ama de casa,['cuidarese'],ama de casa
30/06/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",trabajo independiente. gimnasio,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,no es el tiempo,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,"['trabajo', 'independiente', 'gimnasio']","['no', 'es', 'el', 'tiempo']",profesional independiente
30/06/2020,Mujer,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
30/06/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,,profesional independiente,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,"['profesional', 'independiente']",,profesional independiente
30/06/2020,Mujer,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",psicologa,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"que mientras no se regule la vida social a partir de la conciencia y la responsabilidad personal, esto sera eterno",,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,['psicologa'],"['que', 'mientras', 'no', 'se', 'regule', 'la', 'vida', 'social', 'a', 'partir', 'de', 'la', 'conciencia', 'y', 'la', 'responsabilidad', 'personal', 'esto', 'será', 'eterno']",psicologo
30/06/2020,Mujer,Entre 56 y 65 años,misiones,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
30/06/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
30/06/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena ya no es nada necesaria,No trabajo ni estudio,,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
01/07/2020,Mujer,Entre 46 y 55 años,ciudad autonoma de buenos aires,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
01/07/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
01/07/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,ama de casa,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,no tendria que haber circulacion,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,ama de casa,"['no', 'tendría', 'que', 'haber', 'circulacion']",ama de casa
01/07/2020,Mujer,Entre 46 y 55 años,cordoba,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",empleada,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,por ahora no seria prudente,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,['empleada'],"['por', 'ahora', 'no', 'sería', 'prudente']",
01/07/2020,Mujer,Entre 56 y 65 años,tucuman,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,ama de casa,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"no se debe hacer...hay provincias con mucha circulacion del virus y otras que tienen casos,pero son por las personas que llegan de otros lugares..",,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,ama de casa,"['no', 'se', 'debe', 'hacer', 'hay', 'provincias', 'con', 'mucha', 'circulación', 'del', 'virus', 'y', 'otras', 'que', 'tienen', 'casos', 'pero', 'son', 'por', 'las', 'personas', 'que', 'llegan', 'de', 'otros', 'lugares']",ama de casa
01/07/2020,Mujer,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",proteccionista animal,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,si la circulacion es entre pcias que no registran casos me parece bien,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,"['proteccionista', 'animal']","['si', 'la', 'circulación', 'es', 'entre', 'pcias', 'que', 'no', 'registran', 'casos', 'me', 'parece', 'bien']",activista
01/07/2020,Mujer,Entre 56 y 65 años,provincia de buenos aires,La cuarentena ya no es nada necesaria,"Si, pude hacerlo online",salud,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,solo hay q tener en cuenta tomar las precauciones necesarias al ingresar a la ciudad. x ejemplo junin pcia bs.as.,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,['salud'],"['solo', 'hay', 'q', 'tener', 'en', 'cuenta', 'tomar', 'las', 'precauciones', 'necesarias', 'al', 'ingresar', 'a', 'la', 'ciudad', 'x', 'ejemplo', 'junin', 'pcia', 'bs', 'as']",personal de salud
01/07/2020,Mujer,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
01/07/2020,Mujer,Entre 46 y 55 años,rio negro,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",salud,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,podria entre provincias sin circulacion viral,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,['salud'],"['podría', 'entre', 'provincias', 'sin', 'circulación', 'viral']",personal de salud
01/07/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
01/07/2020,Mujer,Entre 56 y 65 años,provincia de buenos aires,La cuarentena ya no es nada necesaria,"No, tuve que hacerlo de manera presencial",profesional independiente,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"esta perfecto, tomando las precauciones del caso",,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,"['profesional', 'independiente']","['esta', 'perfecto', 'tomando', 'las', 'precauciones', 'del', 'caso']",profesional independiente
01/07/2020,Mujer,Entre 56 y 65 años,cordoba,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,docente jubilada,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"el virus sigue vigente, es sumamente contagioso y la circulacion es una via de contagiarse.",,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,"['docente', 'jubilada']","['el', 'virus', 'sigue', 'vigente', 'es', 'sumamente', 'contagioso', 'y', 'la', 'circulación', 'es', 'una', 'vía', 'de', 'contagiarse']",profesor
01/07/2020,Mujer,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",desesperada sin poder trabajar,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,tengo miedo al contagio,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,"['desesperada', 'sin', 'poder', 'trabajar']","['tengo', 'miedo', 'al', 'contagio']",desempleado
01/07/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,,"No, todavía no pude volver a hacerlo",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
01/07/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"lo que esta pasando es una barbaridad,entre provincias,en todo el pais y el mundo,ojala esto termine y la humanidad empiece a cambiar las cosas que danan al planeta",,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,"['lo', 'que', 'está', 'pasando', 'es', 'una', 'barbaridad', 'entre', 'provincias', 'en', 'todo', 'el', 'país', 'y', 'el', 'mundo', 'ojalá', 'esto', 'termine', 'y', 'la', 'humanidad', 'empiece', 'a', 'cambiar', 'las', 'cosas', 'que', 'dañan', 'al', 'planeta']",
01/07/2020,Mujer,Entre 46 y 55 años,ciudad autonoma de buenos aires,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",curso por internet,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,la circulacion entre provincias hace que junto con la gente circule el virus.,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,"['curso', 'por', 'internet']","['la', 'circulación', 'entre', 'provincias', 'hace', 'que', 'junto', 'con', 'la', 'gente', 'circule', 'el', 'virus']",estudiante
01/07/2020,Mujer,Entre 56 y 65 años,chubut,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
01/07/2020,Mujer,Entre 46 y 55 años,misiones,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",salud,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,no circulacion,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,['salud'],"['no', 'circulación']",personal de salud
01/07/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena ya no es tan necesaria,No trabajo ni estudio,,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
01/07/2020,Mujer,Entre 46 y 55 años,tucuman,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
01/07/2020,Mujer,Entre 46 y 55 años,ciudad autonoma de buenos aires,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,esta bien siempre y cuando tengan control sobre quien entra y quien sale en la provincia.,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,"['esta', 'bien', 'siempre', 'y', 'cuando', 'tengan', 'control', 'sobre', 'quien', 'entra', 'y', 'quien', 'sale', 'en', 'la', 'provincia']",
01/07/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena ya no es tan necesaria,"No, tuve que hacerlo de manera presencial",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
01/07/2020,Mujer,Entre 56 y 65 años,chubut,La cuarentena ya no es tan necesaria,"No, tuve que hacerlo de manera presencial",comercio,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,es la necesidad del libre transito,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,['comercio'],"['es', 'la', 'necesidad', 'del', 'libre', 'tránsito']",comerciante
01/07/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena ya no es nada necesaria,"Si, pude hacerlo online",administracion,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,se debe hacer vida normal con los cuidados correspondientes,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,['administracion'],"['se', 'debe', 'hacer', 'vida', 'normal', 'con', 'los', 'cuidados', 'correspondientes']",empleado administrativo
01/07/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,es muy peligrosos x el virus hay q cuidar l vida y q no sature el sistema sanitario gracias precidente,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,"['es', 'muy', 'peligrosos', 'x', 'el', 'virus', 'hay', 'q', 'cuidar', 'l', 'vida', 'y', 'q', 'no', 'sature', 'el', 'sistema', 'sanitario', 'gracias', 'precidente']",
01/07/2020,Mujer,Entre 46 y 55 años,ciudad autonoma de buenos aires,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,si no hay circulacion del virus hace mas de una semana me parece bien,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,"['si', 'no', 'hay', 'circulación', 'del', 'virus', 'hace', 'más', 'de', 'una', 'semana', 'me', 'parece', 'bien']",
01/07/2020,Mujer,Entre 46 y 55 años,chaco,La cuarentena ya no es nada necesaria,"Si, pude hacerlo online",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
01/07/2020,Mujer,Entre 46 y 55 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,,
01/07/2020,Mujer,Entre 46 y 55 años,cordoba,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,ama de casa,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,cordoba  no tiene muchos casos de corona y no me gustaria  que vengan  de buenos aires,,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,ama de casa,"['córdoba', 'no', 'tiene', 'muchos', 'casos', 'de', 'corona', 'y', 'no', 'me', 'gustaría', 'que', 'vengan', 'de', 'buenos', 'aires']",ama de casa
01/07/2020,Mujer,Entre 56 y 65 años,provincia de buenos aires,La cuarentena ya no es tan necesaria,,,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"no podemos vivir encerrados, eso no es cuidar a la poblacion. debe ser una cuarentena inteligente",,66dc24a0-bfc4-11ea-9f59-9197db17f01d.csv,,"['no', 'podemos', 'vivir', 'encerrados', 'eso', 'no', 'es', 'cuidar', 'a', 'la', 'poblacion', 'debe', 'ser', 'una', 'cuarentena', 'inteligente']",
